Year,Company Name,Country,Industry (Exiobase),Total Environmental Intensity (Revenue),Total Environmental Intensity (Operating Income),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,% Imputed
2018,TOP GLOVE CORPORATION BERHAD,Malaysia,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-51.19%,-422.84%,"(52,16,60,059)","(48,74,23,491)","(1,28,608)","(63,79,918)","(14,92,950)","(22,074)","(95,941)","(2,61,65,639)","48,562",7%
2018,FRESENIUS SE & CO KGAA,Germany,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-1.28%,-10.49%,"(49,04,84,779)","(47,31,84,226)","(1,08,319)","(62,68,490)","(14,66,891)","(19,648)","(24,624)","(94,11,824)",(756),1%
2018,ELI LILLY AND COMPANY,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-1.81%,-7.18%,"(44,44,89,048)","(40,24,90,828)","(1,02,021)","(53,09,368)","(12,31,781)","(17,789)","(71,936)","(3,52,95,294)","29,969",5%
2018,JOHNSON & JOHNSON,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.54%,-2.17%,"(43,95,62,155)","(38,93,15,602)","(85,343)","(47,97,012)","(11,20,019)","(15,317)","(2,38,990)","(4,39,70,080)","(19,791)",12%
2018,GLAXOSMITHKLINE PLC,United Kingdom,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-1.07%,-3.86%,"(41,96,47,018)","(40,35,33,824)","(1,07,676)","(53,04,926)","(12,39,577)","(18,293)","(8,91,036)","(85,92,973)","41,286",8%
2018,"MERCK & CO.,INC.",United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.99%,-4.57%,"(41,78,56,159)","(38,43,07,360)","(89,230)","(49,31,707)","(11,51,908)","(15,928)","(1,23,900)","(2,72,36,487)",362,6%
2018,ABBOTT LABORATORIES,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-1.19%,-9.79%,"(36,51,58,293)","(32,94,00,330)","(75,698)","(42,69,415)","(9,89,567)","(13,590)","(89,578)","(3,03,19,663)",(452),5%
2018,CSPC PHARMACEUTICAL GROUP LTD,China,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-12.82%,-64.36%,"(34,43,67,249)","(30,06,01,364)","(69,859)","(39,94,895)","(9,36,360)","(12,609)","(21,451)","(3,87,33,211)","2,500",0%
2018,SHANGHAI FOSUN PHARMACEUTICAL (GROUP) COMPANY LIMITED,China,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-8.63%,-105.81%,"(30,99,34,663)","(23,30,51,619)","(57,358)","(30,90,659)","(7,25,140)","(10,004)","(28,706)","(7,29,78,385)","7,207",0%
2018,OTSUKA HOLDINGS COMPANY LIMITED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-2.25%,-42.74%,"(26,47,36,492)","(25,26,15,185)","(60,695)","(33,63,094)","(7,87,200)","(10,762)","(4,588)","(79,01,264)","6,296",3%
2018,FRESENIUS MEDICAL CARE AG & CO. KGAA,Germany,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-1.31%,-9.39%,"(24,83,63,975)","(23,79,65,830)","(54,473)","(31,52,676)","(7,37,784)","(9,881)","(12,152)","(64,30,806)",(373),1%
2018,MYLAN NV,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-2.10%,-13.86%,"(23,96,99,098)","(21,63,83,124)","(54,129)","(28,57,510)","(6,63,889)","(9,489)","(33,495)","(1,97,11,416)","13,955",4%
2018,MERCK KGAA,Germany,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-1.27%,-13.83%,"(21,53,51,410)","(20,83,38,749)","(50,270)","(27,75,193)","(6,47,806)","(8,970)","(10,895)","(35,27,890)","8,363",1%
2018,ROCHE HOLDING AKTIENGESELLSCHAFT,Switzerland,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.35%,-1.20%,"(20,37,22,685)","(19,49,04,292)","(45,266)","(25,27,539)","(5,91,466)","(8,151)","(10,46,270)","(46,02,213)","2,512",5%
2018,DR.REDDY'S LABORATORIES LTD,India,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-8.99%,-114.15%,"(18,33,96,221)","(17,04,08,931)","(42,668)","(21,76,901)","(5,10,426)","(7,177)","(4,35,913)","(98,16,305)","2,100",6%
2018,ASTRAZENECA PLC,United Kingdom,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.79%,-9.88%,"(17,41,80,158)","(16,81,39,034)","(44,944)","(22,10,406)","(5,16,302)","(7,630)","(3,76,610)","(29,02,683)","17,450",8%
2018,HOYA CORPORATION,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-2.62%,-11.14%,"(12,79,20,967)","(12,33,49,156)","(29,421)","(16,41,911)","(3,84,416)","(5,237)","(1,902)","(25,11,535)","2,610",1%
2018,TAKEDA PHARMACEUTICAL COMPANY LIMITED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.72%,-7.99%,"(11,55,23,687)","(11,00,16,169)","(25,934)","(14,67,045)","(3,42,651)","(4,669)","(6,288)","(36,63,517)","2,586",0%
2018,KYOWA HAKKO KIRIN COMPANY LIMITED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-3.53%,-20.98%,"(11,16,42,102)","(11,09,46,254)","(25,435)","(14,86,356)","(3,44,174)","(4,628)","(1,231)","11,65,071",906,0%
2018,BRISTOL-MYERS SQUIBB COMPANY,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.46%,-1.60%,"(10,39,92,554)","(9,43,83,156)","(30,750)","(12,15,184)","(2,72,966)","(4,881)","(66,092)","(80,47,060)","27,535",14%
2018,TERUMO CORPORATION,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-1.66%,-9.24%,"(8,88,60,418)","(8,25,27,425)","(18,968)","(10,98,896)","(2,56,990)","(3,447)","(2,087)","(49,53,026)",421,0%
2018,GIANTPLUS TECHNOLOGY CO LTD,Taiwan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-26.39%,-246409.20%,"(8,52,47,832)","(7,93,70,589)","(18,137)","(10,52,616)","(2,46,529)","(3,298)","(2,200)","(45,54,392)",(70),1%
2018,CATALENT INC,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-3.39%,-28.78%,"(8,34,67,395)","(6,88,60,000)","(16,748)","(9,11,438)","(2,12,382)","(2,970)","(7,216)","(1,34,59,647)","3,006",13%
2018,CIPLA LTD,India,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-3.80%,-30.65%,"(8,26,49,384)","(7,14,27,090)","(23,493)","(8,92,007)","(2,07,702)","(3,665)","(4,65,160)","(96,49,594)","19,327",14%
2018,CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO LTD,Hong Kong,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-4.15%,-23.72%,"(8,03,66,871)","(6,53,21,175)","(15,421)","(8,66,466)","(2,02,932)","(2,761)","(15,481)","(1,39,43,767)","1,133",1%
2018,DAIICHI SANKYO COMPANY LIMITED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.81%,-10.22%,"(7,10,23,938)","(6,86,82,502)","(16,027)","(9,16,750)","(2,13,676)","(2,897)","(3,410)","(11,89,903)","1,226",1%
2018,ASTELLAS PHARMA INCORPORATED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.56%,-2.73%,"(6,60,82,500)","(6,38,71,347)","(14,732)","(8,52,735)","(1,98,241)","(2,675)","(4,618)","(11,38,863)",709,1%
2018,BECTON DICKINSON AND CO,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.39%,-2.92%,"(6,31,03,917)","(5,15,71,275)","(18,667)","(6,42,850)","(1,48,233)","(2,855)","(46,822)","(1,06,92,722)","19,507",18%
2018,QUEST DIAGNOSTICS INCORPORATED,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.79%,-4.88%,"(5,91,61,641)","(5,73,03,655)","(16,164)","(7,48,740)","(1,71,557)","(2,703)","(22,062)","(9,05,950)","9,191",10%
2018,SINO BIOPHARMACEUTICAL LIMITED,Hong Kong,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-1.63%,-8.33%,"(5,84,57,584)","(2,73,86,001)","(7,209)","(3,57,994)","(83,655)","(1,205)","(28,722)","(3,05,94,429)","1,631",3%
2018,CITIZEN WATCH CO LTD,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-1.71%,-22.05%,"(4,99,82,716)","(4,77,66,380)","(10,930)","(6,35,948)","(1,48,686)","(1,989)","(1,137)","(14,17,735)",88,0%
2018,"WEST PHARMACEUTICAL SERVICES,INC.",United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-2.65%,-18.75%,"(4,55,81,742)","(4,10,46,834)","(10,085)","(5,42,857)","(1,26,363)","(1,781)","(5,033)","(38,50,887)","2,097",3%
2018,CHINA RAILWAY SIGNAL & COMMUNICATION CO LTD,China,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.66%,-6.06%,"(4,51,00,976)","(3,43,09,602)","(7,567)","(4,44,507)","(1,03,378)","(1,382)","(54,787)","(1,01,78,762)",(992),5%
2018,CHINA SHINEWAY PHARMACEUTICAL GROUP LIMITED,China,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-9.56%,-49.70%,"(4,22,85,328)","(3,71,39,411)","(8,648)","(4,93,482)","(1,15,651)","(1,560)","(3,534)","(45,23,406)",364,0%
2018,EISAI COMPANY LIMITED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.77%,-6.21%,"(4,19,52,919)","(4,10,41,360)","(9,660)","(5,46,191)","(1,27,815)","(1,735)","(2,131)","(2,24,751)",724,0%
2018,SHANDONG WEIGAO GROUP MEDICAL POLYMER COMPANY LTD,China,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-3.18%,-16.54%,"(4,06,85,392)","(2,90,95,068)","(6,991)","(3,84,735)","(90,102)","(1,234)","(10,232)","(1,10,97,612)",581,2%
2018,SIHUAN PHARMACEUTICAL HOLDINGS GROUP LTD,China,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-9.25%,-22.46%,"(3,92,18,994)","(2,41,44,425)","(7,133)","(3,19,482)","(75,135)","(1,128)","(3,389)","(1,46,71,210)","2,908",0%
2018,OLYMPUS CORPORATION,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.48%,-4.94%,"(3,43,13,246)","(3,35,63,978)","(8,256)","(4,50,395)","(1,04,545)","(1,467)","(2,793)","(1,83,820)","2,009",1%
2018,CHUGAI PHARMACEUTICAL CO LTD,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.64%,-3.00%,"(3,39,73,545)","(3,29,94,406)","(8,047)","(4,42,075)","(1,02,865)","(1,434)","(2,059)","(4,24,375)","1,715",1%
2018,MITSUBISHI TANABE PHARMA CORP,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.80%,-4.58%,"(3,15,49,990)","(3,08,15,888)","(7,232)","(4,10,874)","(95,854)","(1,301)","(1,541)","(2,17,849)",549,0%
2018,LUYE PHARMA GROUP LIMITED,China,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-19.74%,-71.64%,"(3,02,50,045)","(1,51,14,533)","(3,480)","(2,00,872)","(47,073)",(632),"(1,225)","(1,48,82,300)",70,0%
2018,TSUMURA & CO,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-2.53%,-17.53%,"(2,72,35,879)","(2,62,75,120)","(6,243)","(3,50,646)","(82,041)","(1,122)",(419),"(5,21,051)",762,0%
2018,YOKOGAWA ELECTRIC CORPORATION,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.73%,-9.08%,"(2,70,57,677)","(2,63,27,738)","(6,024)","(3,51,011)","(81,771)","(1,096)","(1,444)","(2,88,697)",104,1%
2018,KEYSIGHT TECHNOLOGIES INC,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.69%,-6.20%,"(2,66,75,561)","(1,98,28,655)","(6,110)","(2,56,825)","(58,161)",(989),"(11,361)","(65,18,193)","4,733",11%
2018,RECORDATI SPA,Italy,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-1.69%,-5.14%,"(2,62,32,626)","(1,40,61,035)","(3,339)","(1,87,272)","(43,836)",(598),(329),"(1,19,36,550)",335,0%
2018,OKI ELECTRIC INDUSTRY COMPANY LIMITED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.65%,-36.80%,"(2,58,95,630)","(2,49,10,692)","(6,365)","(3,34,697)","(77,875)","(1,114)","(1,556)","(5,65,465)","2,134",7%
2018,SMITH & NEPHEW PLC,United Kingdom,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.51%,-2.59%,"(2,49,62,939)","(2,04,85,079)","(6,129)","(2,66,633)","(62,122)",(993),"(83,608)","(40,62,249)","3,874",2%
2018,RECIPHARM AB (PUBL),Sweden,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-3.15%,-72.06%,"(2,26,13,536)","(2,10,73,851)","(5,529)","(3,09,932)","(57,063)",(974),"(12,085)","(11,59,116)","5,013",14%
2018,CONSORT MEDICAL PLC,United Kingdom,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-5.00%,-50.45%,"(1,98,05,338)","(1,89,52,307)","(4,490)","(2,51,434)","(58,906)",(804),"(8,994)","(5,28,819)",417,0%
2018,SUMITOMO DAINIPPON PHARMA CO LTD,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.46%,-2.52%,"(1,94,40,881)","(1,89,74,305)","(4,759)","(2,53,955)","(59,309)",(839),"(1,658)","(1,47,403)","1,348",1%
2018,TAISHO PHARMACEUTICAL HOLDINGS CO LTD,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.75%,-5.72%,"(1,92,67,370)","(1,84,69,663)","(5,032)","(2,49,327)","(58,051)",(863),(995),"(4,85,992)","2,553",1%
2018,SHIMADZU CORPORATION,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.46%,-4.05%,"(1,58,24,990)","(1,54,49,970)","(3,506)","(2,06,171)","(47,854)",(640),"(1,337)","(1,15,519)",8,1%
2018,SPECTRIS PLC,United Kingdom,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.73%,-5.75%,"(1,49,53,063)","(1,24,45,187)","(3,647)","(1,62,293)","(37,833)",(596),"(46,377)","(22,59,278)","2,149",1%
2018,SARTORIUS AG,Germany,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.71%,-3.80%,"(1,26,66,573)","(1,20,76,236)","(2,767)","(1,59,456)","(37,256)",(500),"(1,150)","(3,89,173)",(35),1%
2018,SONOVA HOLDING AG,Switzerland,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.46%,-2.56%,"(1,24,24,029)","(1,20,34,245)","(2,818)","(1,56,818)","(36,675)",(502),"(48,699)","(1,44,355)",82,1%
2018,VAREX IMAGING CORP,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-1.53%,-21.94%,"(1,18,23,248)","(1,07,12,354)","(2,391)","(1,38,710)","(32,510)",(435),"(2,266)","(9,34,324)",(258),4%
2018,SANTEN PHARMACEUTICAL COMPANY LIMITED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.51%,-3.02%,"(1,05,41,920)","(1,01,31,349)","(2,410)","(1,35,310)","(31,402)",(429),(799),"(2,40,461)",240,1%
2018,CONVATEC GROUP PLC,United Kingdom,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.73%,-4.58%,"(1,00,01,166)","(96,33,386)","(2,743)","(1,25,950)","(29,383)",(453),"(31,235)","(1,79,463)","1,447",11%
2018,"ITRON,INC.",United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.39%,-33.29%,"(91,52,680)","(87,22,746)","(1,800)","(1,07,097)","(23,927)",(326),"(6,961)","(2,89,085)",(739),19%
2018,"HILL-ROM HOLDINGS,INCORPORATION",United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.29%,-2.22%,"(81,31,278)","(74,86,363)","(2,869)","(94,507)","(20,651)",(432),"(8,343)","(5,21,589)","3,476",20%
2018,SCINOPHARM TAIWAN LIMITED,Taiwan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-7.05%,-44.49%,"(81,16,801)","(76,69,448)","(1,897)","(1,01,375)","(23,727)",(335),(784),"(3,19,663)",427,4%
2018,ONO PHARMACEUTICAL CO LTD,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.32%,-1.44%,"(76,07,453)","(73,09,128)","(1,722)","(97,969)","(22,629)",(311),(930),"(1,74,987)",222,2%
2018,RENISHAW PLC,United Kingdom,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.74%,-3.09%,"(57,62,960)","(48,05,614)","(1,404)","(62,684)","(14,614)",(230),"(17,679)","(8,61,555)",819,1%
2018,CHINA MEDICAL SYSTEM HOLDINGS LIMITED,China,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.65%,-1.76%,"(51,13,439)","(31,79,350)",(719),"(41,007)","(9,517)",(130),"(6,311)","(18,76,362)",(44),5%
2018,DIASORIN S.P.A.,Italy,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.64%,-2.05%,"(49,15,834)","(39,20,045)",(913),"(52,086)","(12,180)",(164),(163),"(9,30,308)",26,1%
2018,HALMA P.L.C.,United Kingdom,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.34%,-1.92%,"(46,48,270)","(44,85,725)","(1,563)","(57,496)","(13,335)",(239),"(31,113)","(60,241)","1,442",18%
2018,FLEURY SA,Brazil,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.53%,-2.83%,"(36,66,275)","(35,23,894)",(732),"(49,575)","(10,487)",(140),(37),"(81,406)",(4),9%
2018,STANDARD CHEM. & PHARM. CO LTD,Taiwan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-2.49%,-22.89%,"(29,03,569)","(27,33,274)",(770),"(35,717)","(8,333)",(130),(795),"(1,24,984)",433,10%
2018,STRAUMANN HOLDING AG,Switzerland,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.21%,-0.81%,"(28,50,188)","(26,73,299)",(640),"(34,081)","(7,865)",(111),"(25,097)","(1,09,137)",42,3%
2018,DECHRA PHARMACEUTICALS PLC,United Kingdom,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.45%,-4.09%,"(23,53,026)","(17,47,868)",(603),"(22,428)","(5,203)",(93),"(11,769)","(5,65,607)",545,2%
2018,AVANOS MEDICAL INC,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.35%,-9.35%,"(22,82,260)","(14,79,736)",(603),"(18,521)","(3,997)",(89),"(1,911)","(7,78,198)",796,17%
2018,GENOMMA LAB INTERNACIONAL SAB DE CV,Mexico,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.36%,-1.97%,"(21,90,337)","(8,13,738)",(732),"8,010","1,751",(42),"(3,97,049)","(9,89,075)",539,9%
2018,OXFORD INSTRUMENTS PLC,United Kingdom,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.42%,-3.63%,"(15,82,185)","(11,43,745)",(410),"(14,615)","(3,386)",(62),"(8,583)","(4,11,782)",398,2%
2018,INDIVIOR PLC,United Kingdom,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",-0.13%,-0.38%,"(9,53,339)","(1,25,954)",(325),(484),(34),(34),"(17,134)","(8,10,169)",794,8%
2018,HITACHI LIMITED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33)",14.88%,195.05%,"12,70,44,29,355","12,44,59,93,791","(16,95,914)","15,33,49,318","3,59,56,940","35,204","(33,271)","5,83,64,271","1,24,59,016",0%
2018,TOYOTA MOTOR CORPORATION,Japan,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-0.89%,-10.87%,"(2,37,77,54,367)","(2,30,61,10,422)","(5,91,420)","(3,10,13,930)","(68,45,373)","(1,03,178)","(5,52,082)","(3,27,99,313)","2,61,352",4%
2018,"HONDA MOTOR CO.,LTD.",Japan,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-1.32%,-24.30%,"(1,84,64,64,452)","(1,78,41,01,536)","(3,95,118)","(2,37,10,758)","(53,39,797)","(72,431)","(2,88,657)","(3,25,44,742)","(11,413)",7%
2018,GENERAL MOTORS COMPANY,United States,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-1.04%,-34.51%,"(1,53,38,54,318)","(1,38,63,09,735)","(5,31,732)","(1,75,67,936)","(39,11,367)","(80,985)","(23,16,368)","(12,38,00,096)","6,63,902",18%
2018,NISSAN MOTOR CO LTD,Japan,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-1.03%,-21.43%,"(1,12,28,37,893)","(1,08,59,91,750)","(2,40,757)","(1,42,55,278)","(32,41,625)","(44,004)","(2,24,579)","(1,88,26,772)","(13,129)",5%
2018,CRRC CORP LTD,China,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-3.47%,-66.79%,"(1,08,07,92,985)","(89,53,22,240)","(2,14,335)","(1,18,85,533)","(27,43,162)","(37,982)","(10,75,645)","(16,95,39,124)","25,036",1%
2018,DAIMLER AG,Germany,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-0.54%,-11.14%,"(1,04,11,89,273)","(1,00,74,70,399)","(2,33,462)","(1,34,40,180)","(30,78,352)","(42,232)","(25,16,352)","(1,44,29,640)","21,344",2%
2018,DONGFENG MOTOR GROUP COMPANY LIMITED,China,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-6.39%,N/A,"(97,07,49,618)","(69,38,42,681)","(1,58,744)","(92,13,401)","(21,38,446)","(28,815)","(5,24,195)","(26,48,45,345)","2,009",2%
2018,HYUNDAI MOTOR CO,South Korea,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-1.05%,-41.89%,"(91,13,92,431)","(86,68,64,244)","(1,96,050)","(1,16,50,981)","(26,62,260)","(35,892)","(3,26,954)","(2,96,62,001)","5,952",1%
2018,PEUGEOT S.A.,France,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-0.81%,-10.56%,"(68,75,83,398)","(64,56,30,561)","(1,48,128)","(87,02,391)","(19,37,795)","(26,948)","(1,22,975)","(3,10,33,270)","18,671",3%
2018,"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES,S.A.",Spain,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-28.46%,-436.94%,"(66,73,40,434)","(1,63,58,606)","(3,093)","(2,39,527)","(44,304)",(614),"(2,03,619)","(65,04,90,834)",164,1%
2018,CATERPILLAR INC.,United States,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-1.09%,-6.37%,"(59,86,43,918)","(54,49,97,520)","(1,97,314)","(72,05,466)","(14,97,727)","(30,700)","(8,62,000)","(4,41,00,251)","2,47,061",17%
2018,BAIC MOTOR CORP LTD,China,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-2.15%,-16.40%,"(56,32,82,409)","(35,17,40,398)","(86,994)","(46,25,434)","(10,68,629)","(15,309)","(9,01,770)","(20,48,64,865)","20,989",3%
2018,RENAULT (REGIE NATIONALE DES USINES) SA,France,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-0.66%,-10.57%,"(43,70,06,426)","(40,61,57,012)","(88,872)","(55,44,741)","(11,94,576)","(16,503)","(95,386)","(2,39,15,618)","6,281",4%
2018,GEELY AUTOMOBILE HOLDINGS LIMITED,Hong Kong,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-1.65%,-13.33%,"(30,28,39,256)","(18,81,24,597)","(41,387)","(24,80,118)","(5,55,350)","(7,572)","(6,32,728)","(11,09,95,261)","(2,243)",6%
2018,MAZDA MOTOR CORPORATION,Japan,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-0.81%,-19.20%,"(25,61,97,884)","(24,73,46,757)","(54,781)","(32,85,748)","(7,20,943)","(9,975)","(65,282)","(47,14,058)",(342),12%
2018,SINOTRUK (HONG KONG) LIMITED,China,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-2.69%,-31.59%,"(24,12,33,080)","(17,26,94,931)","(38,837)","(22,87,335)","(5,23,432)","(7,085)","(3,09,798)","(6,53,71,210)",(452),4%
2018,KIA MOTORS CORPORATION,South Korea,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-0.45%,-21.18%,"(22,02,02,483)","(21,20,30,445)","(55,279)","(28,52,182)","(6,45,405)","(9,371)","(1,82,942)","(44,43,754)","16,895",4%
2018,SUBARU CORP,Japan,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-0.67%,-6.07%,"(20,94,25,648)","(20,19,95,235)","(53,617)","(27,26,275)","(5,89,820)","(9,241)","(63,989)","(40,17,764)","30,292",5%
2018,MITSUBISHI MOTORS CORPORATION,Japan,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-0.93%,-20.69%,"(18,51,75,786)","(17,71,94,198)","(40,122)","(23,09,385)","(5,25,067)","(7,155)","(41,198)","(50,55,406)","(3,254)",6%
2018,YAMAHA MOTOR CO LTD,Japan,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-1.19%,-14.09%,"(18,07,37,423)","(17,66,56,265)","(38,298)","(23,44,655)","(5,25,882)","(7,070)","(31,441)","(11,30,346)","(3,466)",8%
2018,VOLVO AB,Sweden,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-0.35%,-3.40%,"(15,58,58,642)","(14,91,05,542)","(33,590)","(18,19,457)","(4,07,504)","(6,013)","(2,60,371)","(42,25,884)",(280),16%
2018,MAN SE,Germany,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-1.11%,-71.69%,"(15,43,10,147)","(11,76,51,685)","(29,812)","(15,86,307)","(3,63,673)","(5,245)","(1,81,988)","(3,45,02,042)","10,605",1%
2018,KOMATSU LIMITED,Japan,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-0.67%,-5.70%,"(15,28,34,905)","(14,81,05,583)","(33,314)","(18,93,148)","(4,38,117)","(6,004)","(46,999)","(23,09,047)","(2,693)",8%
2018,DAEWOO SHIPBUILDING & MARINE ENGINEERING COMPANY LIMITED,South Korea,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-1.55%,-14.56%,"(13,40,47,176)","(13,05,35,089)","(31,061)","(17,41,814)","(4,04,219)","(5,530)","(32,571)","(12,99,900)","3,008",1%
2018,SAMSUNG HEAVY INDUSTRIES COMPANY LIMITED,South Korea,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-1.74%,N/A,"(8,23,34,906)","(8,02,18,992)","(19,005)","(10,70,020)","(2,48,600)","(3,392)","(17,781)","(7,58,757)","1,642",1%
2018,LONKING HOLDINGS LIMITED,China,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-4.77%,-43.35%,"(8,23,32,037)","(7,62,82,360)","(17,264)","(10,12,531)","(2,34,923)","(3,149)","(59,510)","(47,22,053)",(248),2%
2018,FORD OTOMOTIV SANAYI A.S.,Turkey,"Manufacture of motor vehicles,trailers and semi-trailers (34)",-1.18%,-19.93%,"(7,39,50,044)","(5,04,04,573)","(17,016)","(5,98,535)","(1,38,479)","(2,635)","(25,62,501)","(2,02,42,552)","16,247",10%
